role_searched,job_title,employer_name,job_description,job_employment_type,job_city,job_country,job_apply_link,posted_date
Data Analyst,Senior Analyst - Business Intelligence,United Airlines,,Full-time,Gurugram,IN,https://careers.united.com/us/en/job/GGN00002438/Senior-Analyst-Business-Intelligence,2026-04-01T00:00:00.000Z
Data Analyst,Data Analyst 3,Comcast,,Full-time,Chennai,IN,https://jobs.comcast.com/job/chennai/data-analyst-3/45483/92186498880,2026-03-30T00:00:00.000Z
Data Analyst,"Senior Software Engineer - Powe BI dashboard developer, data analyst with SQL Database",Quest Global,,Full-time,Hyderabad,IN,https://careers.quest-global.com/global/en/job/P-116471/Senior-Software-Engineer-Powe-BI-dashboard-developer-data-analyst-with-SQL-Database,2026-04-01T00:00:00.000Z
Data Analyst,Data Analytics Engineer - Ecommerce,McAfee,,Full-time,Bengaluru,IN,https://careers.mcafee.com/global/en/job/JR0032384/Data-Analytics-Engineer-Ecommerce,2026-04-01T00:00:00.000Z
Data Analyst,Senior Analyst - Advanced Analytics,United Airlines,,Full-time,Gurugram,IN,https://careers.united.com/us/en/job/GGN00002461/Senior-Analyst-Advanced-Analytics,2026-04-01T00:00:00.000Z
Data Analyst,Apprentice Data Analyst,WhatJobs Direct,,Full-time,,IN,https://www.shine.com/jobs/apprentice-data-analyst/whatjobs-direct/18834142,2026-03-29T00:00:00.000Z
Data Analyst,Lead Data Analyst - India Development Centre,Hitachi Careers,,Full-time,Chennai,IN,https://careers.hitachi.com/jobs/16751304-lead-data-analyst-india-development-centre,2026-03-26T00:00:00.000Z
Data Analyst,Data Analyst - India,PolyWorks India,,Full-time,Erode,IN,https://in.expertini.com/job/data-analyst-india-erode-polyworks-india-651154f752d9/,2026-03-28T00:00:00.000Z
Data Analyst,"Data Analyst, Cyber Culture and Training",Standard Chartered India,,Full-time,Bengaluru,IN,https://bebee.com/in/jobs/data-analyst-cyber-culture-and-training-standard-chartered-india-bengaluru-east-karnataka--theirstack-651997752,2026-03-27T00:00:00.000Z
Data Analyst,Data Analyst - home working remote,Jobgether,"We are currently looking for a Data Analyst (0 Experience) in India.
We are seeking motivated individuals to join as Data Analysts, helping validate and improve digital mapping data for better navigation experiences. The position offers a flexible, remote work schedule that allows you to plan your hours around your daily routine. This opportunity is ideal for students, part-time professionals, retirees, or work-from-home parents who want to gain experience and develop research skills while contributing to impactful projects. You will work independently while receiving guidance to perform thorough data checks and contribute to enhanced user experiences.
Review mapping data for clarity, consistency, and completeness
Conduct research using online maps, social media, and other digital tools
Follow multiple sets of instructions to ensure data quality
Fluent in English with strong research and analytical skills
Excellent knowledge of local geography, culture, and landmarks
Experience using India Post Pin Codes and street view applications
Access to a personal computer/laptop with a unique login and up-to-date antivirus software
Flexible schedule with the ability to work from home
Earn competitive pay on a freelance, independent contractor basis
Contribute to meaningful projects that improve user experiences
Jobgether is a Talent Matching Platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through AI-driven job matching.
When you apply, your profile goes through our AI-powered screening process designed to identify top talent efficiently and fairly.
Our AI evaluates your CV and LinkedIn profile thoroughly, analyzing your skills, experience, and achievements.
Based on this analysis, we automatically shortlist the 3 candidates with the highest match to the role.
When necessary, our human team may perform an additional manual review to ensure no strong profile is missed.",Full-time,,IN,https://in.jooble.org/rjdp/2103102093479705526?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-29T00:00:00.000Z
Data Analyst,Analyst BA_Digital Category Experience,Lowes,"Expand your career possibilities.

Thank you for dedicating your time and talent to Lowe’s. We want to give you more opportunities to learn and grow, so if you find a position you’re interested in below, we encourage you to apply!

Find Your Home to More Possibilities.

Innovate in Bengaluru

This position is based at our on-site office in Bengaluru. Lowe's offers an ultramodern work environment, complete with cutting-edge technology, collaborative workspaces, an on-site gym and clinic, and other perks to enhance your work experience. 

About Lowe’s

Lowe’s Companies, Inc. (NYSE: LOW) is a FORTUNE® 50 home improvement company serving approximately 16 million customer transactions a week in the United States. With total fiscal year 2023 sales of more than $86 billion, Lowe’s operates over 1,700 home improvement stores and employs approximately 300,000 associates. Based in Bengaluru, Lowe’s India develops innovative technology products and solutions and delivers business capabilities to provide the best omnichannel experience for Lowe’s customers. Lowe’s India employs over 4,200 associates across technology, analytics, merchandising, supply chain, marketing, finance and accounting, product management and shared services. Lowe’s India actively supports the communities it serves through programs focused on skill-building, sustainability and safe homes. For more information, visit, www.lowes.co.in.

Roles & Responsibilities:

Core Responsibilities:

The BA team comprises business intelligence and digital consulting professionals with expertise in the domain of e-commerce/online retail focused on customer analytics and insights. The team uses the power of data analytics and industry research to ensure supreme customer experience on Lowes.com,  which is one of the most crucial levers in driving online revenue growth. As an analyst your day to day activity would involve :
• Analytics & Reporting :Responsible for hands-on working at various nodes of data-driven consulting process: right from pulling and aggregating data from various sources,  category short term and long term strategy with stakeholders.Run reporting for projects, site scrub for search, browse and left navigation experience
• Collect, verify, analyze and summarize data using a variety of digital analytics tools and platforms to derive compelling insights and highlight performance trends that can be used to improve user experience.
• Understand online and e-commerce business, analyze customer data such as their onsite behavior, their product preferences, qualitative feedback, etc.; Build on the fly dashboards & apply advanced analytics methods to draw insights, and then translate them into business recommendations
• Create insight-based action plans to solve identified opportunity areas for different categories enabling driving Global navigation practice.
• Maintain and distribute daily, weekly and event reports
• Utilize programmatic and quantitative methods to identify patterns and relationships in large data sets, as well as apply mathematical, statistical, and other data-driven analysis to address intelligence questions
• Performance Tracking: Monitor AOP attainment daily, identify gaps, and proactively address potential misses.
• Stakeholder Communication: Ensure transparent and clear communication with all stakeholders regarding timelines and outputs.
• Data-Driven Insights & Action Plans: Understand the e-commerce business at a category level, analyze customer data (onsite behavior, product preferences, qualitative feedback etc.), and translate insights into actionable business recommendations. Create and implement action plans to address identified opportunities.
• Market Study & Competitive Intelligence: Conduct market studies to understand best industry practices, enhancing digital customer experiences.
• Hands-On Data Analysis: Aggregate data from various sources, derive insights and recommendations to support short-term and long-term category strategies. ·
• Proficiency in Analytic tools: Use tools like Adobe Analytics and Medallia to derive business insights; support ad-hoc data analysis requests. ·
• Cross-Functional Collaboration: Work effectively within a large global team and partner across functions to support enterprise-level initiatives ·
• Project Ownership: Take full ownership of projects, from initial analysis to final implementation, ensuring that all deliverables meet the highest standards of quality and accuracy. ·
• Innovation: Identify opportunities for innovation and efficiency in processes, driving efficiency.

Required Skill Set

Soft Skills
• Communication
• Problem Solving
• Industry trend knowledge

Technical skills
• Excel
• SQL
• Python/R
• Any Visualization tool
• Adobe Analytics/Google Analytics

Functional Skills
• Data Analysis and Insight Generation
• Research on potential opportunity
• Retail knowledge
• Ecommerce/Digital Analytics

Years of Experience
• 2+ years relevant experience

Education Qualification & Certifications (optional)

Required Minimum Qualifications:
• Bachelor’s Degree in engineering, Business, Marketing, Finance or related field.

Lowe's is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.",Full-time,Bengaluru,IN,https://talent.lowes.com/in/en/job/JR-02435382/Analyst-BA-Digital-Category-Experience?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-26T00:00:00.000Z
Data Analyst,Data Analyst - Full Time,Burgrill India,"Company Description Burgrill India, established in 2016, is renowned for serving fresh, honest, and flavorful grilled food, with a special focus on quality and the art of grilling. Starting from a single outlet, it has grown to over 70 locations across India, becoming a beloved brand for those seeking the taste of authentic, freshly grilled dishes. Combining global flavors with India's love for comfort food, Burgrill upholds its commitment to offering a satisfying culinary experience with every bite.

This is a full-time, on-site Data Analyst role located in New Delhi. The Data Analyst will be responsible for collecting, analyzing, and interpreting complex datasets to drive business decisions. Key tasks include creating data models, performing statistical analysis, generating actionable insights, and presenting findings to stakeholders. Strong Analytical Skills and proficiency in Data Analytics to solve complex problems and identify trends
Hands on experience on Point of Sale (POS) software like Rista Software or similar.
Solid understanding of Statistics for deriving insights from data and making informed decisions
Proficiency in Data Modeling and handling large data sets effectively
Excellent Communication skills for presenting data insights and recommendations clearly to both technical and non-technical audiences
Experience with data visualization tools and reporting tools is a plus such as Advaance Excel, PowerBi, Tableau
Experience into F&B industry is a plus.
Qualification required- Bachelor's degree",Full-time,New Delhi,IN,https://in.jooble.org/rjdp/-8481182183441921400?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-27T00:00:00.000Z
Data Analyst,"Senior Data Analyst, FinTech (Payments)",Booking.com,"You will be part of a dynamic team at Booking Holdings, a global leader in online travel and related services, with a mission to make world travel more accessible. As a Senior Data Analyst specializing in Customer Payments, your primary responsibility will be to identify business growth opportunities through data analysis. You will collaborate closely with product teams to leverage data for enhancing newer products and improving business performance.
• *Key Responsibilities:**
- Collaborate with Product Managers to formulate hypotheses for product performance
- Define performance Key Performance Indicators (KPIs) and create analytical reports to evaluate different payment methods and Payment Service Providers
- Conduct exploratory analysis to challenge and support business assumptions
- Work with data engineers to enhance product performance measurement
- Automate reporting processes for efficient management and timely information delivery
- Support the team with ad hoc analytical requests
• *Qualification Required:**
- Education: Bachelor's degree, Master's degree, PhD, or equivalent experience
- Experience: 5 years (Bachelor's degree) & 3 years (Master's degree)
- Strong communication skills to translate technical information into meaningful insights
- Proficiency in statistical hypothesis testing
- Demonstrated ability to extract and analyze data from diverse sources
- Ownership mindset with excellent stakeholder management and prioritization skills
- Solid analytical skills with a focus on identifying opportunities and threats
- Technical proficiency in SQL, and either Pyspark, Python, or R
- Experience in data visualization using Tableau or Power BI
- Ability to balance accuracy and efficiency in data analysis
- Additional technical skills in Hadoop, SQL, Python/R, and Excel would be beneficial

You will have the opportunity to work in a fast-paced environment within an industry-leading company that values diversity and inclusivity. At Booking Holdings, we are committed to providing equal employment opportunities to all individuals without discrimination based on various factors. If you require reasonable accommodation during the application process, please contact hidden_email will be part of a dynamic team at Booking Holdings, a global leader in online travel and related services, with a mission to make world travel more accessible. As a Senior Data Analyst specializing in Customer Payments, your primary responsibility will be to identify business growth opportunities through data analysis. You will collaborate closely with product teams to leverage data for enhancing newer products and improving business performance.
• *Key Responsibilities:**
- Collaborate with Product Managers to formulate hypotheses for product performance
- Define performance Key Performance Indicators (KPIs) and create analytical reports to evaluate different payment methods and Payment Service Providers
- Conduct exploratory analysis to challenge and support business assumptions
- Work with data engineers to enhance product performance measurement
- Automate reporting processes for efficient management and timely information delivery
- Support the team with ad hoc analytical requests
• *Qualification Required:**
- Education: Bachelor's degree, Master's degree, PhD, or equivalent experience
- Experience: 5 years (Bachelor's degree) & 3 years (Master's degree)
- Strong communication skills to translate technical information into meaningful insights
- Proficiency in statistical hypothesis testing
- Demonstrated ability to extract and analyze data from diverse sources
- Ownership mindset with excellent stakeholder management and prioritization skills
- Solid analytical skills with a focus on identifying opportunities and threats
- Technical proficiency in SQL, and either Pyspark, Python, or R
- Experience in data visualization using Tableau or Power BI
- Ability to balance accuracy and efficiency in data analysis
- Additional technical skills in Hadoop, SQL, Python/R, and Excel would be beneficial

You will have the opportunity to work in a fast-paced environment within an industry-leading company that values diversity and inclusivity. At Booking Holdings, we are committed to providing equal employment opportunities to all individuals without discrimination based on various factors. If you require reasonable accommodation during the application process, please contact hidden_email.",Full-time,,IN,https://www.shine.com/jobs/senior-data-analyst-fintech-payments/bookingcom/18826918?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-27T00:00:00.000Z
Data Analyst,"Data Analyst – Monitoring, Insights & Evidence",GiftAbled Foundation,"Data Analyst – Monitoring, Insights & Evidence (Across GiftAbled Programs)

Organization: GiftAbled Foundation
Location: As per program requirement
Reports to: Program Manager

Job Summary

The Data Analyst – Monitoring, Insights & Evidence will lead data systems, performance tracking, and evidence generation across all four project areas of GiftAbled Foundation. The role is responsible for strengthening program quality through rigorous data analysis, cross-program insights, and evidence-based reporting.

The position requires a professional who can analyse multi-program data, synthesize learnings from national and global resources, and produce concise, actionable reports for leadership, donors, and program teams. The role will ensure data integrity, support strategic decision-making, and drive a culture of data-informed program improvement across GiftAbled initiatives.

Key Responsibilities

1. Monitoring Framework (Across All Project Areas)
• Develop and standardize program indicators, logframes, and M&E tools across the four GiftAbled project areas
• Track program progress against targets and milestones across locations
• Conduct periodic data quality assessments and validation exercises
• Monitor beneficiary outcomes, retention, and program effectiveness
• Ensure alignment with donor M&E frameworks and reporting standards

2. Data Management & Analysis
• Manage and maintain integrated MIS/database covering all GiftAbled project areas
• Clean, analyse, and interpret quantitative and qualitative data across programs
• Generate cross-program dashboards, trend analyses, and comparative insights
• Use national and global benchmarks, research, and best practices to contextualize findings
• Ensure data accuracy, integrity, security, and confidentiality

3. Insights & Evidence Generation
• Translate complex multi-program datasets into clear strategic insights
• Produce succinct analytical briefs and recommended action points for stakeholders
• Identify performance gaps, risks, and improvement opportunities across project areas
• Support evidence-based program design, scale-up, and course correction
• Contribute to impact measurement and outcome tracking at organizational level

4. Reporting
• Prepare high-quality monthly, quarterly, and donor reports for all project areas
• Develop presentations, review decks, and data visualizations for leadership
• Document success stories, case studies, and evidence of impact
• Flag risks, data inconsistencies, and underperformance proactively
• Provide rapid analytical notes for management reviews when required

5. Learning & Capacity Building
• Support cross-program review and reflection meetings
• Train field and program staff across project areas on data tools and protocols
• Strengthen data literacy within GiftAbled teams
• Recommend process improvements based on emerging trends
• Promote a culture of data-driven decision-making organization-wide

Collaboration

Works closely with:
• Program Manager
• Project Leads of all four GiftAbled program areas
• Field Teams
• MIS/IT Support
• Donor and Reporting Teams (as required)

Qualifications
• Bachelor’s/Master’s degree in Statistics, Economics, Public Health, Social Sciences, or related field
• Strong statistical foundation (mandatory)
• 2–4 years of experience in Monitoring & Evaluation / Data Analysis
• Experience handling multi-project or multi-location data preferred
• Advanced Excel required
• Power BI/SPSS or similar tools preferred
• Development sector experience preferred

Skills & Competencies

✔ Data analysis & statistics
✔ Multi-program MIS management
✔ Monitoring framework design
✔ Insight generation & synthesis
✔ Advanced Excel
✔ Dashboarding & visualization
✔ Analytical thinking
✔ Strong attention to detail
✔ Concise report writing
✔ Ability to translate data into action

Compensation

Consolidated salary of ₹40,000 per month, subject to applicable statutory deductions as per organizational policy and government norms.

Pay: ₹40,000.00 - ₹45,000.00 per month

Work Location: In person",Full-time,,IN,"https://www.glassdoor.co.in/job-listing/data-analyst-monitoring-insights-evidence-giftabled-JV_KO0,41_KE42,51.htm?jl=1010047324184&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2026-03-26T00:00:00.000Z
Data Analyst,"Senior Data Analyst with MS Clinical Research (Bangalore, PQE: 8+ Years)",Skill Arbitrage Opportunities,"About the Organisation MS Clinical Research (MSCR) is a leading Contract Research Organization committed to delivering high-quality services and reliable results. The organization focuses on maintaining global standards and excellence across all aspects of clinical research and analytics. About the Job: MS Clinical Research is hiring a Senior Data Analyst – Team Lead with experience of 8+ years to join their office in Bangalore. The role involves leading data analytics operations, managing a team of analysts, and delivering high-quality insights. The position requires strong expertise in clinical data analysis, stakeholder management, and project execution while ensuring data quality and compliance. Eligibility • Minimum 8+ years of experience in Data Analytics, Clinical Data Analysis, Biostatistics, or a related field. • Proven experience in team leadership and project management. • Strong analytical and problem-solving skills. • Experience in handling clinical or study data is preferred. • Proficiency in SQL, Excel, and data visualization tools such as Power BI or Tableau. • Knowledge of Python or R is preferred. • Strong understanding of data cleaning, validation, and quality control processes. • Excellent communication and stakeholder management skills. • Minimum 1+ years of experience in R programming. • Minimum 1+ years of experience in biostatistics. • Experience in clinical research or healthcare analytics is preferred. • Knowledge of eCRF and study data handling is preferred. • Exposure to regulatory or data compliance standards is preferred. Role and Responsibilities • Lead, mentor, and manage a team of data analysts to ensure high performance and accountability. • Provide guidance on analytical methodologies, project execution, and best practices. • Foster a collaborative and learning-driven team environment. • Conduct performance reviews and support team development. • Train and onboard new team members effectively. • Plan and manage end-to-end execution of data analytics projects. • Define project scope, timelines, and resource allocation. • Ensure timely delivery of high-quality reports and insights. • Collaborate with cross-functional teams for accurate data collection. • Act as the primary point of contact for stakeholders and sponsors. • Present insights and recommendations in a clear and structured manner. • Review study outputs and reports before submission. • Oversee data receipt and ensure accuracy, completeness, and consistency. • Establish data validation and quality control processes. • Ensure secure handling and storage of sensitive data. • Supervise data cleaning, preprocessing, and preparation activities. • Allocate datasets to team members for analysis. • Perform advanced data analysis to identify trends and insights. • Apply statistical techniques and analytical methodologies. • Ensure integrity and reliability of data used in reporting. • Utilize data visualization tools to present actionable insights. • Evaluate and adopt new tools and best practices. • Oversee preparation of reports, dashboards, and presentations. • Ensure reports meet quality standards and stakeholder expectations. • Translate complex data into actionable insights. • Maintain high standards of documentation and reporting quality. We are solely providing this information for dissemination and wish to clarify that we are not affiliated with the organization.",Full-time,Gurugram,IN,https://skillarbitragejobs.com/job-details/senior-data-analyst-with-ms-clinical-research-bangalore-pqe-8-years?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-29T00:00:00.000Z
Data Analyst,Data Analyst; Project Management,Manhattan Tech Ventures,"Position: Data Analyst (with Project Management Experience)
About Manhattan Tech Ventures:

Manhattan Tech Ventures is the deep-tech backend powerhouse behind next-generation media and advertising platforms. We design, build, and manage the complex infrastructure that powers the entire Social Gear advertising ecosystem, the LYKSTAGE global video platform, and a range of bespoke client projects. Our team specializes in AdTech, AI/ML, and large-scale data systems.

This is a unique opportunity for a Data Analyst to work on deep-tech challenges, analyzing vast datasets from our AdTech and media platforms to uncover insights that shape our products and client solutions.

Role Description

We are looking for a Data Analyst with Project Management experience to join our Kolkata team. This is a full-time, on-site (hybrid) role.

The Data Analyst will be responsible for analyzing datasets, generating actionable insights, building and maintaining data models, and presenting findings to key stakeholders. The role involves data collection, processing, visualization, and close collaboration with cross-functional teams to support data-driven decision-making across the organization.

Key Responsibilities

- Analyze complex datasets to identify trends, patterns, and actionable insights
- Build, maintain, and optimize data models for business analysis
- Collect, clean, and process structured and unstructured data
- Design and deliver dashboards, reports, and visualizations
- Present insights clearly to stakeholders and leadership
- Collaborate with cross-functional teams to improve decision-making
- Manage and contribute to cross-functional projects
- Support product analytics and growth-related metrics
- Work within Agile frameworks such as Scrum, Kanban, or similar

Qualifications

- Strong analytical and data analytics skills
- Solid foundation in statistics and data modeling
- Excellent communication and presentation skills
- Proficiency in SQL, Excel, and/or Python for data analysis
- Bachelor’s degree in Data Science, Statistics, Mathematics, Computer Science, or a related field

- Experience with data visualization tools such as Tableau or Power BI (preferred)
- Understanding of KPIs and performance metrics for marketing and growth-stage startups (plus)

Required Qualifications

- Bachelor’s degree in Data Analytics, Business Analytics, Computer Science, Statistics, or a related field
- 3–7+ years of experience in data analysis or analytics roles
- Experience working in startup or fast-paced environments
- Strong SQL and advanced data analysis skills

- Experience with BI tools such as Tableau, Power BI, Looker, or similar
- Experience managing cross-functional projects
- Familiarity with product analytics and growth metrics
- Knowledge of Agile / Scrum / Kanban frameworks
- Experience building data models and ETL pipelines

Typical Tools & Tech Stack

- SQL
- Python / R
- Tableau / Power BI / Looker
- Excel / Google Sheets
- Jira / Click Up / Asana / Zoho Projects
- Database systems & ETL tools

Work Mode

- On-site (Hybrid)

- Location:

Kolkata",Full-time,Kolkata,IN,https://www.learn4good.com/jobs/kolkata/india/info_technology/4980098698/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-29T00:00:00.000Z
Data Analyst,Data Analyst II - Survey Programming,The Nielsen Company,"Company Description

At Nielsen, we are passionate about our work to power a better media future for all people by providing powerful insights that drive client decisions and deliver extraordinary results. Our talented, global workforce is dedicated to capturing audience engagement with content - wherever and whenever it’s consumed. Together, we are proudly rooted in our deep legacy as we stand at the forefront of the media revolution. When you join Nielsen, you will join a dynamic team committed to excellence, perseverance, and the ambition to make an impact together. We champion you, because when you succeed, we do too. We enable your best to power our future.

Job Description

Description

Our Technical Survey Data Analysts are responsible for programming survey questionnaires based on the materials provided by the Brand Impact Research Team, using specific software to program surveys, such as Decipher. This position combines survey development (from questionnaires), quality assurance, and direct communication with internal stakeholders and partners. This role will include liaising with project managers and researchers to understand their requirements, programming surveys according to their specifications, and resolving any issues encountered during fieldwork. The role also involves checking and cleaning survey data, merging data, and creating cross-tabulation tables.

Primary Role Responsibilities:
• Turning a questionnaire document into an online survey using Decipher or other survey software
• Performing rigorous quality assurance checks on survey programs to ensure that they are error-free and meet client expectations
• Working with the client services and research teams to ensure that client expectations are met and exceeded
• Communicating with internal stakeholders to obtain clarifications and/or resolve survey programming issues
• Troubleshooting and resolving issues with programmed surveys while they are in the field
• Reviewing collected data for outliers, skip logic issues, or inconsistencies
• Cleanse data, data merging, and Create cross-tabulation tables
• The position involves night shifts and weekend work. Adapting to this schedule is a crucial aspect of the role.
• Support all operational tasks undertaken by the team outside of survey and data programming, ensuring seamless workflow and efficiency.
• Collaborate with team members to contribute to overall project success

Necessary Skills:
• Excellent critical thinking and the desire to seek solutions for novel situations as they arise
• Attention to detail – quality, and accuracy in all work and interactions
• A self-motivated, curious learner with the ability to work collaboratively and willingness to lean in – need to jump in quickly, adapt, and work in a collaborative team environment, managing multiple projects at once
• Agile and open-minded, resilient with an enthusiasm for problem-solving.
• Quick learner with a logical mindset and analytical thinking who is passionate about technology
• Excellent communication and interpersonal skills. Friendly, motivated, dynamic, ambitious, and definitely a team player!
• Strong project management skills - being organized, taking ownership, using initiative & being proactive
• Some programming experience, ideally understanding Object-Oriented Programming, loops, recursion, data structures, and algorithms.
• Ability to work across diverse clients and industries

Qualifications
• 3+ years experience in survey program
• Bachelor’s Degree/ B.Tech/BE in Computer Science/Engineering or any IT-related fields
• Python 2.7 (or other languages), XML, HTML, JavaScript, and CSS “OR” have strong problem-solving skills with the ability to learn things quickly in a challenging environment and think outside the box
• Ability to grasp new concepts easily
• Stats background a plus
• Technical proficiency in Office/Google Suite of software solutions
• Excellent verbal and written communication skills
• Ability to work independently in a fast-paced environment
• Experience in Decipher survey programming platform
• The position involves night shifts and weekend work.

Additional Information

Please be aware that job-seekers may be at risk of targeting by scammers seeking personal data or money. Nielsen recruiters will only contact you through official job boards, LinkedIn, or email with a nielsen.com domain. Be cautious of any outreach claiming to be from Nielsen via other messaging platforms or personal email addresses. Always verify that email communications come from an @nielsen.com address. If you're unsure about the authenticity of a job offer or communication, please contact Nielsen directly through our official website or verified social media channels.",Full-time,Mumbai,IN,https://jobs.smartrecruiters.com/TheNielsenCompany/3743990012331716-data-analyst-ii-survey-programming?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-26T00:00:00.000Z
